artist,spotify_id
Чугунный скороход,5y6KtjNCrIwke7UV7LRp5o
Ранетки,2PlWeOaiLNS2KwgHkyPGxr
Nova State Machine,2xc2guEEpyGBhtN3qbByZ3
WitchcrafT,34yaU8iqC4f2fxMbiiG17P
Pianochocolate,7Kf0z26PLmfNNCPmyEMXg4
Анита Цой,2RImwn0eAgA8TWvlGPk0vu
Roz Vitalis,4UblcDBSVyujGGAtc8UBH5
Карибасы,3waOez5S98XWqKUtmjaEfs
St. Petersburg Chamber Choir,46WjEugfIF0rKOewvFiby2
АнимациЯ,5GIvDfiBo3998zS4DsXqqP
Иван Купала,3Z3CcpiGzn3LoZMg8LTG61
Archie,5EJxNJGLdKQPfS1MsLPFvg
Maleficium Arungquilta,3ITFZI0ZS0iqoV7PcW2DXr
Big Russian Boss,3q99FhugmuibswXhLK0N0K
DVRST,0XFgyr4jwM0MGeZZW0VzA5
Drummatix,3iPAjWSYkBAXRZgS50afSq
Аигел,1gpjSKJC0UekvhaI8fAcoq
7 H. Target,1u9WmQesE5Av9Biq1681ON
Bronster Bridge,0fKvndBAQ7qaXcnyR0Dn65
Triangle Sun,0xqJJcwIGBcOtOw2LHnNMS
Long Arm,0bUWa3lF2u3S1j1JOVZsdA
Polina Griffith,7DyGjIiaZiLrfyrdbIsDEP
Rapossa,0FtVISUJUZSWPU4LGeovTM
Anthesteria,4TXfkoeJmZnJ8cewlre1lN
Aurosonic,1UkK91RiLw3FonVedbAVA1
Лада Дэнс,3VA9uKRBaU00ULEmXGjaaT
Ирина Салтыкова,5gxktmdAF1qbL272F1EaNM
Maiia,4ZuMFkKVa97UnPUQQn4fHK
Юлия Началова,3YxwqsBPnGU5PuioJiZHLk
Наталья Подольская,6Koven2Ua78bOqgin2itz6
MusicAeterna,6GmGAy0QwcMmcANFv79xLF
Игорь Крутой,5JqTYkY8E7ubUFVgRVS512
夜明けを残す,1m5hKL4718s7zHkc5aSAod
Everything Is Made in China,0PFlaA9VxMfyD7LEw2Ynyj
Tony Igy,2jpQ0ywffgVHhZFQNWaWYW
Old Wainds,2m0GWgIQOEVThKTRoSuCIX
Joseph Achron,79cJKAq5mjrQzyQevE8Qqg
Слава,67KLveFFt93eF8QganpYcl
Борис Тищенко,6d0a6YReDvfzUdDNvGvlkO
Kindzadza,0il4tWDQbRfSwMdk5CmP04
Отпетые мошенники,3LtLf5OdPbKVFqpQihUGBy
Моя Мишель,28oFVU5sNejm6p76RkSwtQ
Pinkshinyultrablast,3pJuDuFyP5uxCHDpXPczf4
дора,2eiThpX5zH6LFmqP2HY1hL
Shokran,1DHGS6S7X2lF4cgEa9ErqC
Mango,5x6H8meBBWk6J8qcIWxW7w
Унесённые ветром,3bDZ4vKWjjAM6L0Ym1NuUQ
RAM,2vI0a9r3ijMLunZnHx88bs
dom!No,5SoasoL40vEB7BXtgaLE2S
Theosophy,2obf1TTU6x3y8h5mMuMLQL
Keiss,3waUPpQAFlpjmPOBs83XTZ
Зара,5KCxp18eiaBwdl04QZaOYq
Александр Блок,4fjpvaFnISOOKpwC0QY2de
Inner Missing,5WveblzwVQpNhLPSqptxJU
Dreamweaver,0vRGan4gN6ixXxTy0ia19M
Мальбэк,5BwfcZdtiyHLvxKi7JrNMz
Frostnatt,63lBiFAfG7V8I9fbYW7I0u
Юлианна Караулова,09tP2EPNNwU20jaHUgXBG2
Мара,4dlzFoSuhQ1vejEu17unjD
Наталья Гулькина,6u4G7m7ULAkIF0pehySubz
JONY,2ISiyx4DLCMAMBCvPesCoq
Rompasso,7dJzxVffEZI5MuHOJiQB5A
LOVV66,5A9NWhs9ydYZPGgvcWI8Ms
Horus,1HCxHEbOOHXS0XAJTq3vdi
Юлия Лежнева,4lXqCIiOQaKszIABIsOyrI
R6,4SuG4WyuUZyY6GV67PgMhS
L’One,0x9j5hqljRaIIGjDSmsLT0
Ramil’,7blTwZGiTplsvBEvYOsDot
Михаил Ипполитов‐Иванов,0olnJhZ6Bou4zt2KkjdLkt
Перемотка,3AwNBhYb8tZmJ5m0VIKHp2
Russian Village Boys,1AsruX0vcpmL1O82dfWZBD
